state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
BIHAR,Samastipur,1.311,0.38,3.483,0.716
BIHAR,Saran,1.882,0.897,4.181,1.116
BIHAR,Sheikhpura,2.272,1.66,3.7,1.405
BIHAR,Sheohar,0.982,0.404,2.332,0.459
BIHAR,Sitamarhi,1.009,0.525,2.137,0.644
BIHAR,Siwan,1.817,0.572,4.721,0.673
BIHAR,Supaul,1.141,0.415,2.836,0.713
BIHAR,Vaishali,1.726,0.635,4.271,0.83
CHANDIGARH,Chandigarh,9.32,9.604,8.659,9.222
CHHATTISGARH,Bastar,1.777,1.339,2.8,4.19
CHHATTISGARH,Bijapur,1.106,1.216,0.85,2.019
CHHATTISGARH,Bilaspur,3.166,2.345,5.081,7.11
CHHATTISGARH,Dakshin Bastar Dantewada,1.797,2.065,1.171,3.109
CHHATTISGARH,Dhamtari,3.174,1.796,6.391,7.073
CHHATTISGARH,Durg,4.527,3.654,6.566,7.086
CHHATTISGARH,Janjgir - Champa,2.53,1.252,5.512,7.692
CHHATTISGARH,Jashpur,1.993,0.818,4.734,3.296
CHHATTISGARH,Kabeerdham,1.755,1.016,3.481,7.116
CHHATTISGARH,Korba,4.061,3.473,5.435,6.153
CHHATTISGARH,Koriya,3.638,2.997,5.134,4.398
CHHATTISGARH,Mahasamund,2.319,1.035,5.317,6.817
CHHATTISGARH,Narayanpur,1.74,1.675,1.89,2.71
CHHATTISGARH,Raigarh,2.715,1.452,5.66,7.092
CHHATTISGARH,Raipur,4.164,3.421,5.899,6.955
CHHATTISGARH,Rajnandgaon,3.029,1.777,5.949,7.065
CHHATTISGARH,Surguja,1.746,1.0,3.488,4.228
CHHATTISGARH,Uttar Bastar Kanker,2.358,1.151,5.175,5.631
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,5.352,5.102,5.934,6.518
DAMAN AND DIU,Daman,7.919,7.826,8.138,7.063
DAMAN AND DIU,Diu,5.272,4.424,7.251,5.73
GOA,North Goa,7.013,6.206,8.896,6.001
GOA,South Goa,6.899,6.23,8.461,6.152
GUJARAT,Ahmadabad,7.879,7.881,7.876,7.148
GUJARAT,Amreli,3.513,2.458,5.975,6.342
